Summer,Year.Month,Site,Species,average.count
summer-2010,2010.Jun,B,HARBOUR,0.7
summer-2010,2010.Jun,C,HARBOUR,5.7
summer-2010,2010.Jun,Spit,HARBOUR,3.2
summer-2010,2010.Jun,Wall,HARBOUR,22.8
summer-2010,2010.Jun,D,HARBOUR,0
summer-2010,2010.Jun,E,HARBOUR,6.9
summer-2010,2010.Jun,A,GREY,0.6
summer-2010,2010.Jun,B,GREY,0.3
summer-2010,2010.Jun,C,GREY,5.1
summer-2010,2010.Jun,Spit,GREY,5.6
summer-2010,2010.Jun,Wall,GREY,2.5
summer-2010,2010.Jun,D,GREY,1.6
summer-2010,2010.Jun,E,GREY,1.3
summer-2010,2010.Jul,A,HARBOUR,22.9
summer-2010,2010.Jul,B,HARBOUR,1.2
summer-2010,2010.Jul,C,HARBOUR,0.7
summer-2010,2010.Jul,Spit,HARBOUR,7.9
summer-2010,2010.Jul,Wall,HARBOUR,17.5
summer-2010,2010.Jul,D,HARBOUR,0.3
summer-2010,2010.Jul,E,HARBOUR,7.3
summer-2010,2010.Jul,A,GREY,0.6
summer-2010,2010.Jul,B,GREY,0
summer-2010,2010.Jul,C,GREY,0.5
summer-2010,2010.Jul,Spit,GREY,8.4
summer-2010,2010.Jul,Wall,GREY,1.6
summer-2010,2010.Jul,D,GREY,3.9
summer-2010,2010.Jul,E,GREY,0.5
summer-2010,2010.Aug,A,HARBOUR,25.3
summer-2010,2010.Aug,B,HARBOUR,0
summer-2010,2010.Aug,C,HARBOUR,0
summer-2010,2010.Aug,Spit,HARBOUR,15.3
summer-2010,2010.Aug,Wall,HARBOUR,21
summer-2010,2010.Aug,D,HARBOUR,0
summer-2010,2010.Aug,E,HARBOUR,1.8
summer-2010,2010.Aug,A,GREY,0.9
summer-2010,2010.Aug,B,GREY,0
summer-2010,2010.Aug,C,GREY,0.3
summer-2010,2010.Aug,Spit,GREY,11.8
summer-2010,2010.Aug,Wall,GREY,2.1
summer-2010,2010.Aug,D,GREY,1.1
summer-2010,2010.Aug,E,GREY,0
summer-2010,2010.Sep,A,HARBOUR,13.6
summer-2010,2010.Sep,B,HARBOUR,0.5
summer-2010,2010.Sep,C,HARBOUR,3.6
summer-2010,2010.Sep,Spit,HARBOUR,8.4
summer-2010,2010.Sep,Wall,HARBOUR,3.5
summer-2010,2010.Sep,D,HARBOUR,0
summer-2010,2010.Sep,E,HARBOUR,0.2
summer-2010,2010.Sep,A,GREY,1.3
summer-2010,2010.Sep,B,GREY,0
summer-2010,2010.Sep,C,GREY,0.1
summer-2010,2010.Sep,Spit,GREY,6.8
summer-2010,2010.Sep,Wall,GREY,0.6
summer-2010,2010.Sep,D,GREY,1.2
summer-2010,2010.Sep,E,GREY,0
